/* Seed population built (size: 1014) */
/* Expanded genome set built (size: 1024) */
/* Expanded genome set built (size: 16384) */
313.963 ms for Composite net construction. 
66.2963 ms for construction of all networks individually. 
0.154267 ms for composite net evaluation. 
4.87469 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 31.599 *~*~*~*~


/* Seed population built (size: 994) */
/* Expanded genome set built (size: 32768) */
607.029 ms for Composite net construction. 
200.189 ms for construction of all networks individually. 
0.262768 ms for composite net evaluation. 
11.2538 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 42.8278 *~*~*~*~


/* Seed population built (size: 1023) */
/* Expanded genome set built (size: 65536) */
904.605 ms for Composite net construction. 
309.843 ms for construction of all networks individually. 
0.418076 ms for composite net evaluation. 
20.6408 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 49.3709 *~*~*~*~


/* Seed population built (size: 1013) */
/* Expanded genome set built (size: 1024) */
150.058 ms for Composite net construction. 
4.08172 ms for construction of all networks individually. 
0.109413 ms for composite net evaluation. 
0.288658 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.63825 *~*~*~*~


/* Seed population built (size: 1033) */
/* Expanded genome set built (size: 2048) */
161.286 ms for Composite net construction. 
7.9972 ms for construction of all networks individually. 
0.110241 ms for composite net evaluation. 

/* Seed population built (size: 1021) */
/* Expanded genome set built (size: 4096) */
188.087 ms for Composite net construction. 
16.9038 ms for construction of all networks individually. 
0.134076 ms for composite net evaluation. 
1.10639 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 8.25198 *~*~*~*~


/* Seed population built (size: 1012) */
/* Expanded genome set built (size: 8192) */
232.8 ms for Composite net construction. 
33.1811 ms for construction of all networks individually. 
0.130468 ms for composite net evaluation. 
2.2812 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 17.4848 *~*~*~*~


/* Seed population built (size: 1011) */
/* Expanded genome set built (size: 16384) */
325.27 ms for Composite net construction. 
81.3535 ms for construction of all networks individually. 
0.162092 ms for composite net evaluation. 
4.85916 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 29.9777 *~*~*~*~


/* Seed population built (size: 1019) */
/* Expanded genome set built (size: 32768) */
438.587 ms for Composite net construction. 
126.628 ms for construction of all networks individually. 
0.215306 ms for composite net evaluation. 
9.38205 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 43.5754 *~*~*~*~


/* Seed population built (size: 991) */
/* Expanded genome set built (size: 65536) */
923.171 ms for Composite net construction. 
298.806 ms for construction of all networks individually. 
0.405832 ms for composite net evaluation. 
20.4801 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 50.4644 *~*~*~*~


/* Seed population built (size: 1018) */
/* Expanded genome set built (size: 1024) */
155.38 ms for Composite net construction. 
4.86755 ms for construction of all networks individually. 
0.144153 ms for composite net evaluation. 
0.299903 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 2.08044 *~*~*~*~


/* Seed population built (size: 1015) */
/* Expanded genome set built (size: 2048) */
163.269 ms for Composite net construction. 
7.69759 ms for construction of all networks individually. 
0.114079 ms for composite net evaluation. 

/* Seed population built (size: 1023) */
/* Expanded genome set built (size: 4096) */
186.643 ms for Composite net construction. 
15.8606 ms for construction of all networks individually. 
0.120198 ms for composite net evaluation. 
1.08662 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 9.04025 *~*~*~*~


/* Seed population built (size: 1019) */
/* Expanded genome set built (size: 8192) */
226.082 ms for Composite net construction. 
34.4055 ms for construction of all networks individually. 
0.130051 ms for composite net evaluation. 
2.26737 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 17.4345 *~*~*~*~


/* Seed population built (size: 1013) */
/* Expanded genome set built (size: 16384) */
301 ms for Composite net construction. 
64.4043 ms for construction of all networks individually. 
0.165234 ms for composite net evaluation. 

/* Seed population built (size: 1016) */
/* Expanded genome set built (size: 32768) */
480.946 ms for Composite net construction. 
134.151 ms for construction of all networks individually. 
0.225736 ms for composite net evaluation. 
9.64803 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 42.7404 *~*~*~*~


/* Seed population built (size: 1033) */
/* Expanded genome set built (size: 65536) */
766.771 ms for Composite net construction. 
257.718 ms for construction of all networks individually. 
0.363987 ms for composite net evaluation. 
19.0924 ms for evaluation of all networks individually. 
/* PASS: outputs from GPU and CPU implementations are identical. */
~*~*~*~* GPU speed up: 52.4536 *~*~*~*~


